id;fecha_creacion;valor_compra;valor_pagado;valor_deuda;estado
1;2022-01-27T12:42:12;4391;78427;5254;Zambian (EURCO)
2;2022-01-27T01:53:53;46036;52957;99540;Sabroso Personal Acero
3;2022-01-27T16:58:47;13514;58389;18324;e-markets Morado
4;2022-01-27T22:32:37;68668;5178;73923;Refinado Apartamento Integración
5;2022-01-27T21:53:41;18923;47669;89447;deposit Guantes
6;2022-01-27T04:22:27;90103;34792;40496;Refinado Ensalada
7;2022-01-27T19:50:49;45367;98921;49441;navigate éxito Informática
8;2022-01-27T14:49:47;45210;83789;92817;Multi
9;2022-01-27T21:18:07;52829;90010;72495;Buckinghamshire Jardines
10;2022-01-27T22:23:23;33454;78621;56380;Visionario Informática Violeta
