id;nombre_disenio;disenio;disenio_content_type;descripcion;precio_disenio
1;Ingeniero;../fake-data/blob/hipster.png;image/png;Director;43675
2;a Virtual Planificador;../fake-data/blob/hipster.png;image/png;compressing Electrónica 24/7;47267
3;Analista;../fake-data/blob/hipster.png;image/png;user-centric;10826
4;array plataforma;../fake-data/blob/hipster.png;image/png;Navarra haptic Bedfordshire;95640
5;Berkshire Guapa;../fake-data/blob/hipster.png;image/png;cross-platform;2478
6;systems;../fake-data/blob/hipster.png;image/png;Raton Investment PNG;83874
7;Verde infrastructures;../fake-data/blob/hipster.png;image/png;Personal Aplicaciones;13490
8;Hormigon Joyería División;../fake-data/blob/hipster.png;image/png;Huerta;79213
9;Pescado;../fake-data/blob/hipster.png;image/png;parsing Riyal;53566
10;platforms Administrador;../fake-data/blob/hipster.png;image/png;Informática Cliente Avon;57124
