id;foto;foto_content_type;nombre;precio;cantidad;descripcion
1;../fake-data/blob/hipster.png;image/png;actitud;22191;90204;transmit
2;../fake-data/blob/hipster.png;image/png;Monte;89169;20978;Inteligente Borders GB
3;../fake-data/blob/hipster.png;image/png;Ladrillo;26631;86414;Caserio
4;../fake-data/blob/hipster.png;image/png;frictionless;49251;77105;a Gorro Canada
5;../fake-data/blob/hipster.png;image/png;Datos arquitectura repurpose;52451;33065;Guadalupe
6;../fake-data/blob/hipster.png;image/png;Berkshire;76382;67494;microchip compress ROI
7;../fake-data/blob/hipster.png;image/png;Costa SSL;57643;28242;bluetooth primary scalable
8;../fake-data/blob/hipster.png;image/png;Ladrillo port;92525;63316;metódica real-time
9;../fake-data/blob/hipster.png;image/png;de;28148;30693;auxiliary
10;../fake-data/blob/hipster.png;image/png;quantifying state Sabroso;49406;70490;synergies vertical world-class
