id;fecha_creacion;id_cliente;valor_venta;valor_pagado;valor_deuda;estado
1;de Ergonómico;34114;85593;44392;89847;1080p Centrado
2;Avon;35877;94731;43701;65257;content crítica compressing
3;Rústico;9849;67229;11023;76226;Corporativo Genérico
4;Grupo invoice;75811;12647;99092;32179;Verde haptic
5;Galicia Swedish invoice;22603;50399;88147;10034;Guantes
6;Hormigon Irlanda Pizza;16755;39410;81935;16019;solutions
7;vortals Ladrillo;77477;72338;20560;87791;mindshare Morado
8;Jordania Ensalada FTP;4547;88989;89952;16010;compress implementación auxiliary
9;explícita;37553;18442;2974;20147;Hormigon éxito
10;mobile;38008;5026;29600;5555;programming transicional Verde
